Device:,5vlx110t
Package:,ff1136
Pin stats from C:/developuni/ies_project/projects/wopcie/data/system.ucf

Used pin count CSV by bank/IOSTANDARD/direction
Bank,Freq,Aggressor,IOSTANDARD,Total,In,Out,Inout,Nodir
1,,0,LVCMOS33_8_FAST,20,0,0,0,20
2,,0,LVCMOS33_8_FAST,4,0,0,0,4
2,,0,LVCMOS33_2_SLOW,4,0,0,0,4
2,,0,LVCMOS33_12_FAST,9,0,0,0,9
3,,0,LVCMOS25_12_SLOW,7,0,0,0,7
3,,0,LVCMOS25_2_SLOW,5,0,0,0,5
4,,0,LVCMOS33_12_FAST,8,0,0,0,8
4,,0,LVCMOS33_12_SLOW,5,0,0,0,5
11,,0,LVCMOS25_12_SLOW,10,0,0,0,10
12,,0,LVCMOS33_12_SLOW,27,0,0,0,27
12,,0,LVCMOS33_2_SLOW,4,0,0,0,4
15,,0,SSTL18_II,24,0,0,0,24
15,,0,LVCMOS18_2_SLOW,1,0,0,0,1
17,,0,SSTL18_II,27,0,0,0,27
17,,0,DIFF_SSTL18_II,6,0,0,0,6
18,,0,LVCMOS33_2_SLOW,5,0,0,0,5
19,,0,SSTL18_II,27,0,0,0,27
19,,0,DIFF_SSTL18_II,8,0,0,0,8
20,,0,LVCMOS33_12_SLOW,3,0,0,0,3
20,,0,LVCMOS33_2_SLOW,1,0,0,0,1
20,,0,LVCMOS33_6_SLOW,2,0,0,0,2
20,,0,LVCMOS33_12_FAST,1,0,0,0,1
20,,0,LVDCI_33,23,0,0,0,23
21,,0,SSTL18_II,18,0,0,0,18
21,,0,DIFF_SSTL18_II,6,0,0,0,6
21,,0,LVCMOS18_2_SLOW,11,0,0,0,11
22,,0,LVCMOS33_2_SLOW,2,0,0,0,2
22,,0,LVDCI_33,10,0,0,0,10
